concepto,mayo_2026,junio_2026,julio_2026
Cobrado (con envíos),1586290,1740150,1316240
Envíos,sin dato,348136,249639
Facturación real,sin dato,1392014,1066601
Operaciones,180,239,166
Ticket promedio real,sin dato,5824,6425
Clientes distintos,109,137,103
Publicidad Meta (facturado),189000,121775,142412
Publicidad Meta (costo real),297000,189334,152972
Proveedores y otros,426280,195073,186900
Insumos y compras,sin dato,146853,60081
Cuota de máquinas,192000,192000,192000
Resultado operativo,sin dato,668754,474648
Monitor,sin dato,sin dato,260000
Importación de cartuchos y chips,sin dato,sin dato,200000
Caja libre después de invertir,sin dato,668754,14648
